compressor_diameter_mm,compressor_blade_count,combustor_length_mm,combustor_outer_diameter_mm,combustor_inner_diameter_mm,combustor_liner_thickness_mm,combustor_num_injectors,turbine_blade_count,turbine_hub_tip_ratio,nozzle_exit_diameter_mm,rpm,lattice_cell_size_mm,lattice_density,compressor_pressure_ratio,compressor_efficiency,turbine_inlet_temp_K,turbine_efficiency,mass_flow_kg_s,inlet_pressure_recovery,combustor_pressure_drop_fraction,combustion_efficiency,nozzle_discharge_coefficient,nozzle_isentropic_efficiency,combustor_air_fuel_ratio,feasible,thrust_error_N,tsfc_kg_N_s,thermal_efficiency,fuel_flow_kg_s,compressor_power_W,thrust_to_weight,thrust_N_corrected,exhaust_temp_K_corrected,exhaust_velocity_m_s_corrected,total_mass_kg
66.0,12,90.0,100.0,60.0,1.2,4,19,0.65,50.0,108000.0,3.0,0.35,2.4508468280357563,0.8327070836444103,1080.0966975384345,0.8629460049975219,0.2129626673218416,0.9789824372269225,0.04064782820860292,0.9618492036894748,0.9709819180691523,0.9464980739326353,,True,1.3877628227738938,4.125996572732358e-05,0.12856311626282313,0.004238479417856621,21619.6526866677,8.251594478686867,101.3877628227739,893.1361996676396,466.58844830512055,1.228910093710441
66.0,12,90.0,100.0,60.0,1.2,4,19,0.65,50.0,108000.0,3.0,0.35,2.418704940425315,0.8499479688052822,1048.0351257379114,0.8542047943511455,0.21728463488111935,0.9757694220286732,0.045295397029290176,0.955711131906522,0.9712397440084721,0.9473081648004181,,True,0.6879155471288954,4.187790120059431e-05,0.1239660289441831,0.004194403122789912,21250.959434641794,8.081579736848381,99.3120844528711,872.1546798152831,448.10735877444495,1.228910093710441
66.0,12,90.0,100.0,60.0,1.2,4,19,0.65,50.0,108000.0,3.0,0.35,2.138558573481742,0.8480672112366574,1070.8156337203743,0.8717504534992321,0.2196059328991012,0.9792500766948853,0.0494690364424538,0.95586398117999,0.9749241285279424,0.9487728094393089,,True,2.7425400804125246,4.565333832639704e-05,0.10965688939342473,0.004469960588947996,18189.759133687072,7.932636217502447,97.25745991958748,913.9174424133425,434.00442561971005,1.228910093710441
66.0,12,90.0,100.0,60.0,1.2,4,19,0.65,50.0,108000.0,3.0,0.35,4.7335536153140465,0.8349742913817021,919.682825948745,0.878649658300625,0.21045046199322023,0.9815987435052371,0.04424692355002309,0.9651502295498381,0.9828547067339244,0.9455358138866716,,True,2.570277285965801,2.4543315128064497e-05,0.18865382672565148,0.0023337510395868887,40818.159684387836,7.719081281731129,97.4297227140342,659.4827177178804,456.37260346783773,1.228910093710441
66.0,12,90.0,100.0,60.0,1.2,4,19,0.65,50.0,108000.0,3.0,0.35,3.197489188281617,0.8497719468940542,986.9551567763306,0.8750954815679086,0.20777364836733175,0.979740692449357,0.045483611114118354,0.9613417198217983,0.975322528719822,0.9468372785497421,,True,0.13685220378734186,3.3886441188532756e-05,0.161991988205385,0.003389544546873531,27890.563845564586,8.086785140679861,100.13685220378734,769.7424645598503,473.8152174734849,1.228910093710441
66.0,12,90.0,100.0,60.0,1.2,4,19,0.65,50.0,108000.0,3.0,0.35,4.879682458509556,0.833825844875423,891.5981064658728,0.8774782399361536,0.22525921886107964,0.9720139244699051,0.038373630576090924,0.9616800156590348,0.9743338162240693,0.9327789737713352,,True,1.9414620244866683,2.360147519715928e-05,0.17770503765041917,0.0022392830869813795,44814.85526975305,7.6905704955511,98.05853797551333,637.2613416901867,430.0398932140448,1.228910093710441
66.0,12,90.0,100.0,60.0,1.2,4,19,0.65,50.0,108000.0,3.0,0.35,2.1020039794323484,0.8453018581324624,1122.74818719949,0.8665381995278344,0.21639000263810715,0.9775393270305412,0.04109395885574288,0.9559040966367246,0.9697691803654425,0.963577238386341,,True,0.7232654117099315,4.713613434166663e-05,0.10886061460044219,0.004714721583621,17529.703481100914,8.110874636710719,99.27673458829007,959.177282598712,449.3189505796763,1.228910093710441
66.0,12,90.0,100.0,60.0,1.2,4,19,0.65,50.0,108000.0,3.0,0.35,2.9244627782854087,0.8499504384,1011.6308773969372,0.8756266151487351,0.20817929294968718,0.9797095030169747,0.04500789190729607,0.9524293044670321,0.9777730348450354,0.9457899022977924,,True,0.8518787648038568,3.576120793691639e-05,0.15457799195620592,0.0036262778664302425,25449.71244187855,8.17842317597435,100.85187876480386,805.213367208587,475.5386760655842,1.228910093710441
66.0,12,90.0,100.0,60.0,1.2,4,19,0.65,50.0,108000.0,3.0,0.35,2.237059300757213,0.8477794627670421,1031.8811278834962,0.87663974005539,0.22652678685485383,0.9758777982341067,0.041547155633849045,0.9638787166889113,0.974723055908408,0.9534368246584671,,True,0.044130230667548176,4.342243881987177e-05,0.11561737933629657,0.0043834556350784305,20014.631771841414,8.139330344921888,99.95586976933245,870.4581400049136,432.62957352806325,1.228910093710441
66.0,12,90.0,100.0,60.0,1.2,4,19,0.65,50.0,108000.0,3.0,0.35,2.941736733255893,0.8481346835895514,987.0276106812651,0.875104518062013,0.21534220269490145,0.9746780466039064,0.04249269004671475,0.9606322104026237,0.9745810569025294,0.9458856872928356,,True,0.9472484339145808,3.6072493392299696e-05,0.15052933809276858,0.0035888128079797884,26549.964944622898,8.170301136075203,100.94724843391458,785.1121649792836,460.59725877493497,1.228910093710441
