compressor_pressure_ratio,compressor_efficiency,compressor_diameter_mm,compressor_blade_count,combustor_length_mm,combustor_outer_diameter_mm,combustor_inner_diameter_mm,combustor_liner_thickness_mm,combustor_num_injectors,combustor_air_fuel_ratio,turbine_inlet_temp_K,turbine_efficiency,turbine_blade_count,turbine_hub_tip_ratio,nozzle_exit_diameter_mm,mass_flow_kg_s,rpm,lattice_cell_size_mm,lattice_density,thrust_N,specific_thrust,fuel_flow_kg_s,tsfc_kg_N_s,exhaust_velocity_m_s,exhaust_temp_K,compressor_power_W,thermal_efficiency,total_mass_kg,thrust_to_weight,lattice_surface_area_ratio,is_valid,n_warnings
2.551359871,0.7268889743,78.39132888,20,86.12377053,111.895982,67.94759173,1.416448628,10,62.02902268,963.2639868,0.8634864915,21,0.6238110845,79.92712336,0.2473249313,143157.2385,13.45552813,0.1896003045,95.10085336,384.5178601,0.003961096268,4.17E-05,378.4565909,793.800845,30233.48887,0.105654169,0.5267523708,18.40385944,2.784400457,TRUE,0
2.432502023,0.8316153464,131.2259377,18,145.7686972,138.4548646,81.5233513,1.453091396,8,50.59512493,839.4938096,0.8779539921,19,0.6591810745,47.6508686,0.2682339686,147018.5276,8.484477597,0.2876627549,95.10242736,354.5502751,0.003489272041,3.67E-05,349.9973986,697.6079237,27007.71592,0.1109233907,0.8750460911,11.07877304,2.931494132,TRUE,0
2.902966168,0.8297164806,84.48764656,16,126.9254391,140.4286807,65.43779968,1.5116343,7,59.18201631,967.6996282,0.7848153797,20,0.7609296634,57.28651467,0.2273298615,102827.5945,13.30201114,0.5472530641,95.10508466,418.3572015,0.003657484774,3.85E-05,411.7328771,784.6374833,28241.55473,0.1244911003,0.8978039963,10.79824545,3.320879596,TRUE,0
3.424523735,0.8460719174,80.62859486,14,66.78807268,130.5114861,65.89830107,1.091816466,9,44.437686,853.7810237,0.7539563204,11,0.8286376745,55.61670148,0.279906095,117654.7546,10.81308196,0.4178181999,95.10672295,339.7808216,0.003407865995,3.58E-05,335.6937392,678.8259569,40380.71464,0.1089365204,0.5453658422,17.77682827,3.1267273,TRUE,0
2.225563609,0.810812592,106.5768387,13,91.35513095,115.5597663,86.71395571,1.106710184,6,66.89310279,949.4274085,0.8336388978,16,0.6029582173,74.24509962,0.2511781862,109834.7588,5.543381557,0.2647127147,95.1071187,378.6440221,0.004141309648,4.35E-05,372.5023754,808.1461613,23038.43102,0.09947316032,0.6267341493,15.46894368,2.897069072,TRUE,0
2.674968571,0.7461980097,110.5394862,17,73.6208083,111.8682466,45.547864,1.545083836,7,70.31245049,1070.847572,0.8734846992,22,0.6477856387,73.87105779,0.2061433203,107992.0881,8.783809558,0.1885025067,95.11019953,461.3790027,0.003933336594,4.14E-05,452.7404469,870.5563246,25970.12839,0.1272966059,0.5472332453,17.71681343,2.78275376,TRUE,0
4.524849579,0.8149173501,89.68003,11,134.4500254,90.64141196,46.11847892,1.627471833,5,57.07586819,1019.073803,0.7587061889,12,0.6279955495,48.25756794,0.207172097,78127.93932,8.130666395,0.528323741,95.11156175,459.0944588,0.003243885823,3.41E-05,452.016812,762.5046613,39701.83161,0.1541075407,0.693715448,13.97600154,3.292485612,TRUE,0
3.206960101,0.728498486,87.59184438,10,106.7113921,157.3806659,81.33354443,1.150009832,10,79.25084506,1166.225832,0.816076364,15,0.8285351764,77.7264338,0.1863517659,88719.3687,11.8338862,0.4780870221,95.11298162,510.3948502,0.003915239337,4.12E-05,499.8921464,919.3422111,29266.52927,0.1412080135,0.8824892717,10.98655045,3.217130533,TRUE,1
3.245408603,0.7749228499,94.77840824,16,85.55345491,81.07048544,73.68937358,1.761590836,9,45.66789491,821.4066689,0.8456043205,19,0.7672111966,50.55691539,0.2952465584,112458.7304,10.35587775,0.2256380949,95.11384966,322.1505788,0.003272189605,3.44E-05,318.6193507,646.9425007,44115.60969,0.1076908974,0.4533150412,21.38821903,2.838457142,TRUE,0
4.911428948,0.7691269593,143.4808081,15,84.50363213,146.6077141,50.52096842,1.084029005,8,49.54395067,899.5788293,0.7910005794,12,0.8135709085,36.92474468,0.2840535914,133684.5832,12.82832341,0.2962257474,95.11393616,334.8450399,0.003246687248,3.41E-05,331.0610647,663.5857005,61577.58467,0.112775135,0.6825016154,14.20598866,2.944338621,TRUE,0
3.853830113,0.8424453379,123.4707758,13,70.05607268,145.847808,41.65639939,1.685424139,11,66.7541631,833.0563389,0.7788313017,21,0.6298724221,61.02840475,0.2838271557,120238.2819,4.090106363,0.4063829355,95.11444889,335.1139839,0.003142380368,3.30E-05,331.4444111,644.2922844,45882.45141,0.1166540959,0.6825716003,14.20460868,3.109574403,TRUE,0
4.060535688,0.7458708645,91.9989519,18,80.36795396,158.1864591,51.45502504,1.393239559,7,68.96634835,1145.648726,0.8007909054,18,0.6689485571,75.46763536,0.1816944776,122698.4284,13.19254184,0.2933649685,95.11508791,523.4891514,0.003526886035,3.71E-05,513.5211513,863.1955086,34735.0411,0.1610341081,0.6680345562,14.51381149,2.940047453,TRUE,0
4.675008092,0.8221068441,112.4649618,16,110.8878147,110.6094362,88.50695086,0.8083095076,8,47.53228058,945.9356375,0.7550033988,18,0.6324854651,35.36675093,0.2374551595,104080.2626,8.821724873,0.4911901163,95.11537886,400.5614326,0.003184632112,3.35E-05,395.2603941,707.8509454,46313.79625,0.137270217,0.6928864447,13.99328468,3.236785174,TRUE,0
4.541732377,0.7333902228,91.37297294,18,129.3055218,142.8775441,69.36049415,1.874843918,5,76.99941391,1033.797272,0.8613663536,13,0.6660701627,51.61450736,0.2004644002,82471.61206,10.53314825,0.5364115583,95.11962587,474.4963483,0.003098825043,3.26E-05,467.2731322,752.0499161,42816.65346,0.1667805629,0.9109133976,10.64446985,3.304617337,TRUE,0
2.444669238,0.8254167091,102.651599,15,104.4495231,150.9391389,67.97126592,1.818988219,7,62.97795073,1103.930688,0.771042718,18,0.7512912448,35.24872736,0.2078962332,110369.0028,8.570818986,0.2959099315,95.11993076,457.5356143,0.004314031414,4.54E-05,448.2343535,926.0069566,21223.81648,0.1149198127,0.6837951015,14.18000986,2.943864897,TRUE,1
4.711863064,0.7723872671,77.67967172,20,69.85608944,85.19080165,48.46016919,1.282535235,10,54.62930158,1155.782357,0.7629674599,23,0.8397474377,31.87761135,0.178130428,115502.5809,12.86261449,0.2304694757,95.12272002,534.0060152,0.003419790649,3.60E-05,523.9471522,853.2687257,37212.48225,0.1694625639,0.3602324377,26.91735834,2.845704214,TRUE,0
2.762384518,0.731892986,118.283597,13,105.0607831,126.8199842,59.16559573,1.855221943,5,48.35393178,939.4474704,0.7731037321,17,0.7280533732,70.33914295,0.2819515709,132552.843,12.75203966,0.3357411924,95.12755681,337.3897031,0.004228828007,4.45E-05,332.4041659,775.2426059,37578.74029,0.08694694509,0.7469383362,12.98232824,3.003611789,TRUE,0
3.145193175,0.819926418,103.5542823,10,134.8559777,150.8662396,50.53737901,1.98639376,7,64.68589707,1041.528115,0.7553911562,14,0.6458853414,57.28964953,0.2093550741,116433.4468,6.457093045,0.4435368598,95.12893466,454.3903943,0.003747793476,3.94E-05,446.3991299,834.4448726,28641.31532,0.1317534119,0.9481692038,10.22722429,3.16530529,TRUE,0
2.02896067,0.8435234945,131.2351856,8,64.59110276,99.38468292,69.80169256,1.177894002,8,51.73113523,1106.884052,0.7768364541,20,0.7517937153,30.32604255,0.2255381771,139990.1988,11.79035835,0.3744706753,95.1297533,421.7900247,0.004864045588,5.11E-05,412.8855711,964.2401989,17346.66334,0.09389662637,0.5095909297,19.02942536,3.061706013,TRUE,1
2.927304474,0.7617606213,106.8226705,19,65.64552252,96.57820539,42.77922566,0.9311257767,8,50.22470589,939.2211675,0.8619377774,21,0.7750730556,71.17694258,0.2367275254,148472.1916,13.31493392,0.3971657473,95.13562842,401.8781857,0.003526731561,3.71E-05,395.9789501,751.2444656,32324.0248,0.1242065318,0.5594273948,17.33526377,3.095748621,TRUE,0
2.759437291,0.8473197766,64.73116816,12,106.890155,143.2662515,87.96097704,1.684353045,6,66.18003446,949.2649232,0.861596977,15,0.6460142951,75.63945505,0.2186032,109437.6568,13.39165522,0.2926657596,95.13600559,435.1995104,0.003456818153,3.63E-05,428.4247403,767.7403898,25136.13673,0.1371022146,0.6799945521,14.26167293,2.938998639,TRUE,0
4.997423982,0.7598984092,119.8154356,14,122.2297454,134.6611072,89.93687428,1.607932977,11,51.99190419,930.7611436,0.8563635645,15,0.8471769025,37.29953892,0.2337404121,139257.0917,4.049760227,0.4101629139,95.13845034,407.0261085,0.002846956388,2.99E-05,402.1281903,666.4907972,51983.81369,0.1562576638,0.7996638086,12.12773293,3.115244371,TRUE,0
3.200032845,0.8049721274,73.57391417,12,138.9302902,143.552928,85.215516,1.798074329,8,46.56229067,1100.164465,0.8500578719,14,0.776646366,38.05820752,0.1832295037,121464.7801,11.22702042,0.1605722146,95.1414193,519.2472685,0.003571268682,3.75E-05,509.3202672,861.7642651,25985.59732,0.1577755154,0.6555420712,14.79449173,2.740858322,TRUE,0
2.908765014,0.7889221701,120.5610134,15,113.1566291,125.0307732,52.86713285,1.409149361,10,46.93181707,1037.28634,0.8463632033,23,0.7883107125,60.37019809,0.2047617857,89756.06328,11.63522856,0.1735845223,95.14491357,464.6614761,0.003674598191,3.86E-05,456.4697958,831.1045565,26811.37674,0.1374324579,0.6689353909,14.49881122,2.760376783,TRUE,0
2.193409064,0.77922925,137.0828391,8,145.6680066,114.5803665,75.42684879,1.157312307,7,43.32598894,883.0658101,0.8486207486,15,0.7123356207,48.82890833,0.2845680529,84004.68409,10.77374019,0.1647118288,95.14557761,334.3508754,0.004123108792,4.33E-05,329.5756512,753.7484203,26607.39028,0.08843424661,0.732643427,13.23813916,2.747067743,TRUE,0
2.903575196,0.7638977094,80.47583037,17,66.30957946,87.61739387,88.10482539,0.913867102,11,51.51484014,1163.389328,0.8743418805,19,0.7125988981,52.58501223,0.1801670249,74747.04437,8.111770749,0.5484789468,95.14761193,528.1078043,0.003885336266,4.08E-05,516.9594746,927.5193068,24316.50086,0.1472066159,0.4892012252,19.8262852,3.32271842,TRUE,1
